time,area_h1,temp_avg,temp_max,temp_min
0,2680.2083333333,0,0,0
0.06,2837.6140586194,566.23867927406,1886.0993066074,300.03024935711
0.12,3084.1361852471,568.96367516998,1892.4728413073,300.03122174357
0.18,3306.8161081126,569.65560117796,1889.7184674772,300.03155780381
0.24,3565.7917467602,570.32937202518,1887.3321062603,300.03189018989
0.3,3850.854787024,570.99963309899,1884.8496980391,300.0322274465
0.36,4070.3318939342,571.67179064093,1883.1304323946,300.03257114657
0.42,4367.264576424,572.35508165935,1881.5640976466,300.03292194249
0.48,4619.2145837399,573.04679635215,1881.4767155731,300.03328007534
0.54,4845.320892566,573.75788793018,1883.2816797826,300.0336474844
0.6,5123.5275759875,574.4916197333,1885.9086920929,300.03402373547
0.66,5342.7100845942,575.22941357643,1889.975006715,300.03440672251
0.72,5548.5327501231,575.98554895652,1895.3660383571,300.03479865942
0.78,5800.9131369293,576.75585485443,1900.3706620978,300.03519805562
0.84,5997.6484097081,577.51953157711,1905.7207183864,300.03560267472
0.9,6184.6279977656,578.27238278768,1910.7434889243,300.03601171389
0.96,6401.6419807825,579.03167494469,1915.5387132327,300.036427422
1.02,6583.8901293896,579.79042151377,1920.6427252026,300.03684947002
1.08,6778.2422270134,580.5344335909,1925.4744775235,300.03727533638
1.14,6963.0306195077,581.26702196089,1929.3845770819,300.03770574305
1.2,7127.1011874548,581.99316892984,1933.2137537845,300.03814172561
1.26,7312.9562816685,582.70507698069,1937.1004733419,300.03858165686
1.32,7468.8768963378,583.40215849153,1940.1057306041,300.03902604849
1.38,7631.6584709326,584.09361905841,1943.2670985695,300.03947602524
1.44,7806.3144840703,584.77741849693,1946.6036564934,300.0399312137
1.5,7948.2091343375,585.4473946413,1949.0323938413,300.04039125542
1.56,8108.8794379087,586.10512213614,1951.8217785261,300.0408557698
1.62,8262.0654292081,586.75527285546,1954.6302866702,300.04132591906
1.68,8406.4661081739,587.39924467766,1956.5589150599,300.04180202503
1.74,8565.2814646812,588.03200213127,1959.2480532103,300.04228292787
1.8,8698.9742087812,588.6510911337,1961.6303164985,300.04276885199
1.86,8843.4458308226,589.25906206984,1962.9348577693,300.04325973165
1.92,8985.3244489357,589.85846399425,1965.4778091161,300.04375625386
1.98,9114.3112088074,590.4509183351,1967.5258837544,300.04425895784
2.04,9259.436090267,591.03375167396,1968.604574365,300.04476690536
2.1,9382.9364200076,591.60283226683,1970.8705610977,300.04528007452
2.16,9511.2401619788,592.15951890274,1972.4651802013,300.04579830905
2.22,9636.3542030074,592.70297051403,1973.3574138575,300.04632160953
2.28,9742.1252483721,593.23388508175,1975.0483775486,300.04685049795
2.34,9864.1972151647,593.7560147913,1976.1836311251,300.04738495506
2.4,9971.8952599132,594.27137233054,1977.1437075794,300.04792594296
2.46,10083.28354156,594.77841142406,1978.6407366219,300.04847295429
2.52,10195.56836156,595.27551770516,1979.3582869462,300.04902573888
2.58,10286.340191586,595.75948671844,1980.3670231713,300.04958426475
2.64,10391.531325459,596.23245469036,1981.4806436034,300.05014820115
2.7,10482.578790107,596.69626641946,1981.6210922141,300.05071842406
2.76,10574.734079639,597.15255982511,1982.815167066,300.05129497491
2.82,10673.458341331,597.60276673632,1983.7561917482,300.05187800607
2.88,10751.942432552,598.04120562736,1983.5446477261,300.05246723873
2.94,10841.198934319,598.46748117728,1984.7766983718,300.05306200229
3,10918.710371623,598.88514242195,1985.3274276498,300.05366337992
3.06,10995.885630206,599.29700093468,1985.2671079868,300.05427167233
3.12,11082.754465239,599.70647791298,1986.2735655015,300.05488730525
3.18,11152.509252489,600.10727380466,1986.6864102842,300.05550989167
3.24,11229.043024163,600.49489753217,1986.8109908466,300.05613817466
