time,area_h1,temp_avg,temp_max,temp_min
0,2680.2083333333,0,0,0
0.00046875,2612.3921724257,340.6661039113,631.49563352747,298.99317519915
0.00140625,2285.1670113742,359.64929427041,701.11909505347,299.77815450461
0.001875,2158.9857464916,365.04837658883,721.6760988157,299.28830068392
0.00234375,2014.1993416404,368.6914762071,736.64260175967,298.00702542795
0.00328125,1705.2321015198,375.26990688474,768.50201489214,299.48620239482
0.00375,1585.8956096515,378.45285469877,784.80194325907,298.52513045427
0.00421875,1430.3347021895,381.22381868764,798.42000600031,297.41961667452
0.0046875,1277.9889540543,384.01744799668,812.78107862513,297.54516284333
0.00515625,1170.5299432322,387.21075706395,830.05818932755,298.90436888977
0.00609375,884.76779063023,394.04235719918,865.2344215611,299.19785206478
0.0065625,763.17290201113,397.76737939033,884.73992643288,299.10055757954
0.0075,467.47922971742,406.5817132426,930.17510022592,300.01304428145
0.00796875,339.72265590808,411.61660742417,956.5358886001,300.01351330078
0.0084375,232.96662806982,421.36349053708,1011.6489886955,300.01411178122
0.009375,562.92061587444,519.43371211442,1652.5320622782,300.01913809096
0.00984375,881.08860283955,543.91829288825,1788.2826637156,300.02215589179
0.0103125,1230.8956591623,556.01505373061,1846.73344268,300.02494855185
0.01078125,1630.2541205015,561.98290789983,1873.6103087235,300.02710284444
0.01125,2051.6003182234,564.92152934471,1886.4376931537,300.02856918961
0.01171875,2413.4168876224,566.36500581572,1892.7423264705,300.02948363981
0.0121875,2714.2333720994,567.072629981,1896.0655618646,300.03001940698
0.01265625,2973.434935495,567.42056770993,1897.8315842471,300.03031944388
0.013125,3219.2020575717,567.59220172834,1899.0514469206,300.03048203916
0.01359375,3418.5374845534,567.67856674627,1899.9277174674,300.03056815472
0.0140625,3643.9586218542,567.72428517076,1900.6969520791,300.03061312211
0.01453125,3897.4321773531,567.75072185353,1901.5379050971,300.03063647582
0.015,4084.5773987632,567.76899430552,1902.2301179164,300.03064877267
0.01546875,4311.0905489713,567.78399422797,1903.1566806509,300.0306555622
0.0159375,4556.5811874139,567.79962342976,1904.0258436141,300.03065965278
0.01640625,4786.1365157293,567.81624364842,1905.0408683305,300.03066249553
0.016875,4997.0562008313,567.83600775221,1906.0819718196,300.03066492258
0.01734375,5247.6166578757,567.85978203018,1907.2893527571,300.03066733447
0.0178125,5492.9716331022,567.88847800335,1908.5733807085,300.03066989362
0.01828125,5716.477725732,567.92318849313,1910.2423564192,300.03067281186
0.01875,5939.3843982209,567.9642015924,1912.1183989389,300.03067626539
0.01921875,6192.3108196815,568.01333134005,1914.695113405,300.03068022861
0.0196875,6416.0696826207,568.06976136191,1917.5213876256,300.03068468033
0.02015625,6616.1670275636,568.1323562889,1920.3544216294,300.03068970108
0.020625,6852.3911786393,568.20479765291,1923.9989885948,300.03069525867
0.02109375,7069.5607643225,568.28246690669,1927.3278498479,300.03070112341
0.0215625,7262.9414405087,568.36464565617,1930.7467499857,300.03070718509
0.02203125,7472.264514533,568.45549119594,1934.7076165792,300.03071344669
0.0225,7682.6369274122,568.5508944858,1938.3833559717,300.03071967843
0.02296875,7868.5019603613,568.64707543191,1941.7760818678,300.03072566305
0.0234375,8048.7463548109,568.74728323414,1945.5006107067,300.030731421
0.02390625,8245.6648883646,568.85361938155,1949.3658838761,300.03073681078
0.024375,8434.2670058845,568.96210793526,1952.9445393903,300.03074160385
0.02484375,8600.4230704776,569.06899421868,1956.2254108869,300.03074584254
0.02578125,9031.8013942949,569.32359738407,1964.5102512555,300.03075079028
0.02625,9225.1419808614,569.45610445646,1968.4884471726,300.03075252728
0.0271875,9649.2846326498,569.74677054641,1976.7810541854,300.03075224062
0.02765625,9845.5563499918,569.89749911346,1980.990934719,300.03075136749
0.02859375,10193.118495837,570.19100109164,1988.2322008579,300.03074961941
0.02953125,10536.234236029,570.48439254311,1995.3164874816,300.03074632021
