time,temp_avg,temp_max,temp_min
0,0,0,0
0.06,590.65308274206,2742.4206857748,300.0283911458
0.12,594.95211602956,2753.9968541967,300.03103573485
0.18,595.74879049047,2752.7128137293,300.03148475236
0.24,596.46822807308,2750.7285527433,300.031828072
0.3,597.16712786573,2747.7736047582,300.03217060017
0.36,597.84731179793,2746.7038564018,300.03251650075
0.42,598.50970394423,2744.5191435989,300.0328659891
0.48,599.15538548438,2742.1162075813,300.03321916139
0.54,599.78503882495,2740.5759710492,300.03357608108
0.6,600.39939074223,2738.2220943123,300.03393681486
0.66,600.99939985619,2736.3930015902,300.03430145097
0.72,601.58579028829,2734.6083763357,300.03467006313
0.78,602.15918562411,2731.9109917999,300.03504271829
0.84,602.72024533997,2730.6728919519,300.03541948836
0.9,603.26966820542,2728.7528999473,300.03580045207
0.96,603.80805559162,2726.0130560668,300.03618568326
1,604.16098710417,2725.5463148515,300.03644484978
1.02,604.33576304989,2725.0096409638,300.03657523665
1.08,604.85337325031,2722.9694624163,300.03696918776
1.14,605.3615141052,2720.8420921209,300.03736762044
1.2,605.86038281667,2719.4416125853,300.03777058345
1.26,606.35032827836,2717.2929159414,300.03817813834
1.32,606.8319252397,2715.7797562747,300.03859037021
1.38,607.30540960825,2714.2326801603,300.0390073375
1.44,607.77097186281,2711.7426224152,300.0394290941
1.5,608.22899101323,2710.8425293555,300.03985571263
1.56,608.67976214553,2709.1933557828,300.04028726138
1.62,609.12349371071,2706.779131686,300.04072380182
1.68,609.56030880593,2706.0373507915,300.0411653879
1.74,609.99052760269,2704.2881122749,300.04161209369
1.8,610.41444313472,2702.4864312592,300.04206399393
1.86,610.83201604436,2701.367327332,300.04252113175
1.92,611.24344771244,2699.5192170203,300.04298357302
1.98,611.64912560365,2698.3241296072,300.04345140556
2.04,612.04902540042,2697.0806913819,300.04392467845
2.1,612.44318883469,2694.8852097367,300.04440344554
2.16,612.83192739316,2694.2895812649,300.04488778997
2.22,613.21534086717,2692.9452057832,300.04537777652
2.28,613.59346242524,2690.8086728916,300.0458734626
2.34,613.96640292342,2690.3760111186,300.04637491411
2.4,614.33435406505,2688.9285301568,300.04688220718
2.46,614.69744644951,2687.3858732116,300.04739541408
2.52,615.05559528493,2686.5763772357,300.04791458334
2.58,615.40898765273,2685.0241679614,300.04843979328
2.64,615.75789156887,2684.0689516069,300.04897113315
2.7,616.10216306745,2683.1156244618,300.04950865095
2.76,616.44184492777,2681.2264860046,300.05005240981
2.82,616.7772397487,2680.8506908784,300.05060250725
2.88,617.10832640877,2679.7897875277,300.05115900638
2.94,617.43506028336,2677.8468309531,300.05172196515
3,617.7576113822,2677.7230175105,300.05229146841
3.06,618.07608221656,2676.5508852467,300.05286759553
3.12,618.39050351655,2675.1812836501,300.05345041826
3.18,618.70083422325,2674.6765991251,300.05403999836
3.24,619.00724909878,2673.39099091,300.05463642645
3.3,619.30990753226,2672.5893722314,300.0552397937
3.36,619.608640348,2671.8951109579,300.05585015025
3.42,619.90353498916,2670.303610033,300.05646757741
3.48,620.19487827738,2670.0631367057,300.05709218513
3.54,620.48254462608,2669.2533950875,300.05772403376
3.6,620.76648370975,2667.4233929689,300.05836318947
3.66,621.04692746519,2667.5958421868,300.05900975814
3.72,621.32389796321,2666.6668410099,300.05966382128
