time,area_h1,temp_avg,temp_max,temp_min
0,2680.2083333333,0,0,0
0.00375,2674.0766411148,311.82854819941,413.86273036468,300.00132898153
0.0075,2667.8486771315,317.61091903435,464.81708478691,300.00221388039
0.009375,2664.7027174612,320.61936234534,495.94344268987,300.00260809138
0.01125,2661.5438170664,324.36533581737,541.56428570715,300.00304788897
0.0121875,2659.9611682969,326.58070895813,574.07488378365,300.00329367233
0.013125,2658.3850202028,329.6996891674,673.60001123894,300.00360153127
0.0140625,2656.8570292614,336.64184993203,990.8556204873,300.00413626357
0.015,2655.4405464874,347.1265162997,1234.6082668801,300.00501365191
0.0159375,2654.215555848,361.71836643997,1447.276889167,300.00630387939
0.01640625,2653.6574105268,369.45728206566,1532.2537993064,300.00704425395
0.016875,2653.1775057626,379.61541561727,1632.0739364681,300.00790463085
0.017109375,2652.9621252947,385.64845610548,1687.3490669462,300.0083719456
0.01734375,2652.7858188284,394.45184279608,1766.6763712634,300.00889672167
0.0178125,2653.4244123709,480.64135541199,2501.0290767092,300.01155595814
0.01875,2655.5979018106,535.12268322345,2823.7007726368,300.01878960304
0.020625,2660.498506706,556.03426635931,2928.9387027849,300.02558458143
0.024375,2670.3311596745,560.5394899622,2949.2452121231,300.02808661606
0.031875,2689.9058848886,561.12457352578,2951.236928446,300.02851377221
0.046875,2735.4916035296,561.32247585543,2951.2299704521,300.02861780911
0.076875,2926.1332825072,561.67939785064,2951.485024423,300.02877417768
0.091875,3018.5731826499,561.86552528537,2951.7801508421,300.02885330349
0.121875,3220.5148335696,562.25179051606,2953.6847493804,300.02901420284
0.151875,3408.321778602,562.63938715893,2957.343760243,300.02917727709
0.181875,3582.934560146,563.02165452979,2960.2228122935,300.02934020445
0.211875,3748.2324151401,563.41033760274,2962.9260490298,300.02950610497
0.241875,3923.6593585499,563.80942141162,2965.9489442621,300.02967322153
0.271875,4092.598701305,564.21520841317,2968.2880934517,300.02984246072
0.301875,4243.363396985,564.61839695281,2971.6171975409,300.03001361415
0.331875,4399.3994329105,565.01873625832,2975.6504832758,300.03018445492
0.361875,4538.0030036532,565.41511223936,2978.5114819346,300.0303572375
0.391875,4671.5653355289,565.81206378962,2981.2813877807,300.03053130675
0.421875,4815.0227760435,566.21149951398,2983.8406791839,300.03070497674
0.451875,4946.5780854182,566.60871602512,2985.3141860849,300.03088095517
0.481875,5069.8197703664,567.0035826903,2988.8799832884,300.03105900263
0.511875,5198.8704462897,567.39519055152,2992.1190181354,300.03123614687
0.541875,5321.670357445,567.78412159063,2994.435372003,300.03141476926
0.571875,5438.2686388615,568.17411281566,2996.7829026598,300.03159608317
0.601875,5558.9011636531,568.56438551209,2998.4735645266,300.03177765115
0.631875,5678.8584870559,568.94929513647,3000.1242395599,300.03195880289
0.661875,5787.3712322038,569.32805062665,3003.3288356731,300.03214196754
0.691875,5887.9242797867,569.70156715245,3005.4916204841,300.03232675007
0.721875,5992.9893996921,570.07136017332,3007.3559881481,300.03251056615
0.751875,6099.2515558187,570.43990878871,3009.0518762294,300.03269516171
0.781875,6202.4496137331,570.81071219618,3009.8668331024,300.03288295908
0.811875,6303.2216463001,571.18221258446,3011.8566392997,300.03307320884
0.841875,6407.1517706965,571.54959783946,3014.5625861532,300.03326260093
0.871875,6510.9264138799,571.912889478,3016.4529274277,300.03345211293
0.901875,6606.9760714902,572.27153384113,3018.0760042048,300.03364381174
0.931875,6696.2661752024,572.62506569506,3018.9390003838,300.03383732865
0.961875,6786.8135292836,572.97403660126,3019.0255567207,300.03403042708
1.021875,7007.9557672445,573.68128260298,3024.7690458661,300.03441281883
1.081875,7258.4562281218,574.38678094795,3029.4583282232,300.03478987065
1.111875,7367.3394036274,574.73407040511,3030.5804022014,300.03498369417
1.171875,7586.6460526559,575.41450551388,3035.2677007829,300.03537003051
1.231875,7785.4745135193,576.09033609454,3038.810639932,300.03576904558
1.291875,7999.7095850785,576.76183178669,3040.901267057,300.03616644009
1.351875,8185.3058664122,577.42228656038,3045.4867394195,300.03657796848
1.411875,8379.1419381781,578.06703701315,3048.5483286138,300.03698597602
1.471875,8549.5946121124,578.70093354118,3049.7260603805,300.03740707275
1.531875,8729.8023958436,579.32652057008,3053.8129570844,300.03782731975
1.591875,8897.6247733976,579.9463579455,3055.875009582,300.03825827827
1.651875,9062.7281713714,580.55338774452,3057.6648531675,300.03869218655
1.711875,9220.9674583407,581.14813022885,3060.4551737486,300.03913144208
1.771875,9366.6276401915,581.72994500945,3061.6150957354,300.03957907781
1.831875,9517.1127208356,582.29996332172,3063.7903699387,300.04002641661
1.891875,9653.2725994426,582.86138845069,3065.658370391,300.04048528399
1.951875,9793.7234109564,583.41410054318,3066.0719868464,300.0409455772
2.011875,9930.8530699104,583.96070014121,3068.7556333358,300.04141240988
2.071875,10054.364081088,584.49349229101,3070.0861144066,300.0418880026
2.131875,10186.839258929,585.01839350814,3069.7283899353,300.0423628082
2.191875,10306.014053737,585.53205763788,3072.7058140821,300.04284791604
2.251875,10426.662184485,586.03660838953,3073.6999136577,300.04333641173
2.311875,10546.206453324,586.53155225064,3073.8129607575,300.04382857963
2.371875,10649.251111305,587.01151725993,3075.7299753646,300.0443311395
2.431875,10758.255994745,587.48223596402,3076.326732196,300.04483299262
2.491875,10854.622352097,587.93866291482,3076.8435352345,300.04534216337
2.551875,10947.022215738,588.39086622753,3078.0569530541,300.04586050866
2.611875,11050.408129824,588.84147330843,3078.272444908,300.04637982081
2.671875,11144.238926346,589.2841188158,3079.4976246359,300.04691015585
