time,area_h1,temp_avg,temp_max,temp_min
1.41,8445.5297002975,593.52976204994,2484.5608485058,300.03988558147
1.44,8533.8148144624,593.87466327514,2485.5102159611,300.04011480074
1.47,8624.1714977879,594.21450294059,2486.3121533095,300.04034387743
1.5,8714.8049933019,594.55011383293,2486.6752409231,300.04057344239
1.53,8800.4240246368,594.8826672686,2487.9739314522,300.04080502225
1.56,8882.7337739415,595.21336306466,2489.2247735015,300.0410387286
1.59,8967.1142404896,595.54176951288,2490.0672543695,300.041273188
1.62,9054.9223971143,595.86789799058,2490.9849368421,300.04150795475
1.65,9140.4416501374,596.19246347286,2491.5160812722,300.04174463349
1.68,9222.0529950079,596.51596735,2491.8288253371,300.04198381647
1.71,9303.0908545161,596.83820137819,2493.3474305878,300.04222473074
1.74,9388.4539767577,597.15691879099,2494.484610826,300.04246544616
1.77,9471.8987630079,597.47099342714,2495.2549287394,300.04270692858
1.8,9549.6174510821,597.78093924425,2495.8928430358,300.04295041896
1.83,9623.6734452486,598.08831892408,2496.0403454828,300.04319604707
1.86,9699.9733736638,598.39384116492,2496.7886686941,300.04344258116
1.89,9780.2293957108,598.69605468664,2498.0738272773,300.04368897472
1.92,9856.7357738405,598.99452879951,2498.8386317936,300.04393698503
1.95,9928.3138135673,599.2907437451,2499.4124450739,300.04418747422
1.98,9998.3358495371,599.58583647007,2499.7418744495,300.04444010572
2.01,10073.533590236,599.88039473431,2499.7535723256,300.04469325569
2.04,10151.521493774,600.17292739899,2501.118445966,300.04494689266
2.07,10224.674588827,600.46209234727,2502.1142231608,300.04520262199
2.1,10292.484964373,600.74801446398,2502.5784172042,300.04546071364
2.13,10358.801366406,601.03140898391,2503.1141511962,300.04572045575
2.16,10430.464740954,601.31274282314,2503.3153961853,300.04598013424
2.19,10503.066984438,601.59130878244,2503.7068355999,300.04624057603
2.22,10570.473969001,601.86650222915,2504.8597783365,300.04650331216
2.25,10633.280497004,602.13860953972,2505.4754873152,300.04676841927
2.28,10695.932999636,602.40892428472,2505.8713970759,300.04703506336
2.31,10764.854138539,602.67798854817,2506.2575070434,300.04730163615
2.34,10834.651874397,602.94535004141,2506.2355678872,300.04756941653
2.37,10899.575962882,603.20999338436,2507.0657999869,300.04783972924
2.4,10960.14309274,603.47170830509,2507.8885457305,300.04811245454
2.43,11020.818523514,603.73141599625,2508.2743768421,300.04838658806
2.46,11087.670401105,603.99042130457,2508.7806900644,300.04866071918
2.49,11155.085778125,604.24799390989,2508.9726473255,300.04893626646
2.52,11217.307986798,604.50273419332,2508.9109002161,300.04921443763
2.55,11274.681586179,604.75423287905,2509.9633811465,300.04949504079
2.58,11331.479586123,605.00289366391,2510.565597911,300.04977694608
2.61,11393.403436155,605.25013580913,2510.9680125833,300.05005874791
2.64,11454.872058626,605.49473836567,2511.3564452818,300.05034178764
2.67,11509.888418904,605.734818412,2511.212457549,300.05062723646
2.7,11559.039982044,605.97050919876,2511.5866472657,300.05091501338
2.73,11607.517420134,606.20362755617,2512.3540379247,300.05120420391
2.76,11662.440360031,606.43679254814,2512.8000778378,300.0514934839
2.79,11719.835838193,606.67011033926,2513.2050550227,300.0517842371
2.82,11773.421797258,606.90112832523,2513.2763098775,300.05207770682
2.85,11822.843259759,607.12946011358,2512.8399922617,300.05237386652
2.88,11871.856911588,607.35587658981,2513.7912821446,300.05267173751
2.91,11926.347947929,607.5813926119,2514.4542832411,300.05296964682
2.94,11982.753453677,607.80564266915,2514.7705912945,300.05326857119
2.97,12033.916359247,608.02591534226,2515.0517839249,300.05356994951
3,12078.640885895,608.24148361803,2514.7950808646,300.05387389695
3.03,12120.243164673,608.4532264609,2514.8305954944,300.05417955388
3.06,12164.994188775,608.66283499261,2515.6428390506,300.05448527901
3.09,12212.548392862,608.871275425,2516.0815690296,300.05479164893
3.12,12257.135144872,609.07815269304,2516.2978214876,300.05510069462
3.15,12298.116560392,609.28337360732,2516.2527443229,300.05541288501
3.18,12338.683281606,609.48799406329,2515.7619312313,300.05572753035
3.21,12383.996421949,609.69287842188,2516.4876540003,300.05604296937
3.24,12434.368893178,609.89735488324,2517.1858595961,300.05635873298
3.27,12481.61940724,610.09896725422,2517.3953932052,300.05667673217
3.3,12522.412197376,610.29617333812,2517.5568901927,300.05699758632
3.33,12558.65429202,610.48939832533,2517.2545292323,300.05732073033
3.36,12595.180257168,610.68022233328,2517.060769731,300.057644839
3.39,12636.255277737,610.87021477026,2517.9315154555,300.05796887664
3.42,12676.791731361,611.05911779689,2518.3479132419,300.05829495436
3.45,12714.147963139,611.24717272408,2518.4501028725,300.05862442964
3.48,12749.87356321,611.43456900205,2518.3932514584,300.05895703977
3.51,12787.639136804,611.62219309851,2517.9389611986,300.05929162259
3.54,12831.739591137,611.81018324225,2518.4952717362,300.0596262678
3.57,12876.377252631,611.99595147488,2519.1941244926,300.05996207556
3.6,12915.059401912,612.17734912022,2519.3550716423,300.06030063501
3.63,12947.191497128,612.35417012457,2519.4106645585,300.06064205961
3.66,12976.442543079,612.52791274318,2519.1120775183,300.0609855028
3.69,13009.60765886,612.70147275933,2518.7444613212,300.06132936737
3.72,13047.60325185,612.87613976669,2519.6616183803,300.06167407953
3.75,13084.821304488,613.05076963208,2520.0859094109,300.06202190933
3.78,13119.470564695,613.22498823275,2520.1308948539,300.06237349179
3.81,13153.411894518,613.39843986579,2520.11202117,300.06272793519
3.84,13190.073278014,613.57132808088,2519.7261840752,300.0630835529
3.87,13230.601005364,613.74250480847,2520.0868920883,300.06343890994
3.9,13267.370744588,613.9093391081,2520.76582993,300.06379604258
